date,os,vertical,country,total_DAU,total_downloads,total_duration_minutes
2024-11-21,ANDROID,Sportsbetting,USA,"1,893,196","45,388","18,345,836"
2024-11-22,IOS,RMG,USA,"703,082","29,066","8,194,878"
2024-11-22,ANDROID,RMG,USA,"604,340","10,821","10,512,242"
2024-11-22,ANDROID,Sportsbetting,USA,"1,546,023","51,799","12,517,320"
2024-11-22,IOS,Sportsbetting,USA,"3,617,390","94,964","34,362,347"
2024-11-23,IOS,RMG,USA,"798,515","31,874","8,354,826"
2024-11-23,ANDROID,RMG,USA,"640,426","20,378","10,725,153"
2024-11-23,ANDROID,Sportsbetting,USA,"1,463,641","67,607","13,943,256"
2024-11-23,IOS,Sportsbetting,USA,"4,164,085","92,153","44,448,491"
2024-11-24,IOS,RMG,USA,"771,414","28,718","6,906,803"
2024-11-24,ANDROID,RMG,USA,"622,757","15,220","9,498,672"
2024-11-24,ANDROID,Sportsbetting,USA,"2,395,443","42,713","36,401,317"
2024-11-24,IOS,Sportsbetting,USA,"4,622,252","116,199","59,887,002"
2024-11-25,IOS,RMG,USA,"677,311","23,360","5,737,831"
2024-11-25,ANDROID,RMG,USA,"596,830","15,522","9,420,391"
2024-11-25,ANDROID,Sportsbetting,USA,"1,920,570","45,273","16,900,214"
2024-11-25,IOS,Sportsbetting,USA,"4,079,779","170,971","40,738,822"
2024-11-26,ANDROID,RMG,USA,"652,143","16,468","10,096,215"
2024-11-26,IOS,RMG,USA,"711,161","22,645","6,240,971"
2024-11-26,IOS,Sportsbetting,USA,"3,670,415","101,629","34,722,698"
2024-11-26,ANDROID,Sportsbetting,USA,"1,728,064","48,922","15,677,884"
2024-11-27,ANDROID,RMG,USA,"649,671","16,513","9,972,235"
2024-11-27,IOS,RMG,USA,"761,925","31,087","7,783,030"
2024-11-27,IOS,Sportsbetting,USA,"3,420,724","109,525","36,589,768"
2024-11-27,ANDROID,Sportsbetting,USA,"1,580,492","52,141","14,952,753"
2024-11-28,ANDROID,RMG,USA,"632,531","9,713","8,969,691"
2024-11-28,IOS,RMG,USA,"1,037,640","35,488","7,473,861"
2024-11-28,IOS,Sportsbetting,USA,"3,970,663","153,190","43,806,054"
2024-11-28,ANDROID,Sportsbetting,USA,"2,044,943","39,853","18,967,746"
2024-11-29,IOS,RMG,USA,"726,624","27,291","8,149,721"
2024-11-29,ANDROID,RMG,USA,"614,989","10,211","9,995,091"
2024-11-29,IOS,Sportsbetting,USA,"3,951,358","190,555","37,757,957"
2024-11-29,ANDROID,Sportsbetting,USA,"1,647,124","57,090","12,429,100"
2024-11-30,ANDROID,RMG,USA,"644,364","16,780","10,427,063"
2024-11-30,IOS,RMG,USA,"810,674","28,731","9,196,152"
2024-11-30,ANDROID,Sportsbetting,USA,"1,539,223","66,881","13,431,153"
2024-11-30,IOS,Sportsbetting,USA,"4,287,422","153,701","46,634,938"
2024-12-01,IOS,RMG,USA,"860,915","29,536","7,669,481"
2024-12-01,ANDROID,RMG,USA,"635,020","13,694","8,752,847"
2024-12-01,ANDROID,Sportsbetting,USA,"2,262,110","56,599","34,282,601"
2024-12-01,IOS,Sportsbetting,USA,"4,578,130","140,910","60,284,035"
2024-12-02,IOS,RMG,USA,"747,459","18,982","6,082,845"
2024-12-02,ANDROID,RMG,USA,"606,860","12,482","8,579,666"
