utc_week,country,os,vertical,creative_format,cpm,cpi,ftd_rate,cftd,avg_user_spend,gross_spend_usd,spend_share,unique_bundle_count,,https://moloco.looker.com/explore/ads_bpd_china/fact_dsp_all_joined?qid=kwWfa0cZQn2kEMQOesyzK6,,,WITH main as (WITH fact_dsp_creative AS (
2025-08-04,USA,ANDROID,RMG,Video,63.97783185,17.74944775,0.0682584137,596.0830927,193.7792457,497709.3707,0.825103734,40,,,,,from cohort c LEFT JOIN moloco-ae-view.athena.dim1_app m
2025-02-24,CAN,IOS,RMG,Video,21.89764329,65.15614248,0.06069544383,910.208274,661.2517093,93635.4135,0.798835713,7,,,,,on c.fact_dsp_creative_product_app_market_bundle = m.app_market_bundle
2025-03-24,GBR,ANDROID,RMG,Video,26.96699086,15.30306147,0.06890459364,54.75803191,390.5769073,27884.49315,0.986353281,7,,,,,where gross_spend_usd > 1000
2025-07-28,USA,ANDROID,RMG,Video,62.33547005,21.22326845,0.09351851852,860.2376443,211.1024252,438375.7866,0.800527614,43,,,,,"group by 1,2,3,4,5,6,7,8,9,10,11,12,13,14"
2024-10-28,GBR,ANDROID,RMG,Video,32.86517333,20.60694082,0.0168707483,205.6173057,185.5906339,30035.27721,0.78566381,6,,,,,"),"
2024-10-28,USA,IOS,Sportsbetting,Statics,0.65716125,10.93465464,0.08185043238,95.57808149,113.5833471,106453.6043,0.547897496,4,,,,,cohort4 as (
2025-01-06,USA,ANDROID,RMG,Playables,80.81036258,18.39153728,0.01428571429,1483.974911,294.412111,71476.99541,0.285373286,12,,,,,Select
2025-03-17,USA,ANDROID,RMG,Statics,1.7163106,11.95888617,0.08333333333,653.2401767,148.3122103,88582.88948,0.235669381,20,,,,,"utc_week,country,os,vertical,creative_format,"
2025-08-11,USA,IOS,RMG,Statics,0.385226739,27.68413614,0.05553301951,426.0091303,315.1881565,292476.9373,0.264291494,23,,,,,"--app_name,"
2024-10-14,USA,ANDROID,RMG,Playables,154.7885198,16.49529543,0.03448275862,661.4598963,211.0480826,83106.89556,0.263975404,11,,,,,"avg(cpm) as cpm,"
2025-03-31,USA,ANDROID,RMG,Video,76.75224107,19.79444311,0.03973889143,1763.246177,273.2398188,793977.5916,0.828183093,45,,,,,"avg(cpi) as cpi,"
2025-02-03,GBR,IOS,Sportsbetting,Statics,1.024820667,12.0936273,0.08719317436,143.0869377,131.8479958,39194.51146,0.688628303,3,,,,,"avg(ftd_rate) as ftd_rate,"
2024-08-05,GBR,ANDROID,RMG,Video,23.281284,24.18890828,0.1230700755,207.5554096,416.8844138,31782.79824,0.938732989,10,,,,,"avg(cftd) as cftd,"
2025-01-27,USA,IOS,Sportsbetting,Statics,0.599854,16.13430218,0.09343813932,94.9490823,123.0660226,126681.5609,0.471492789,5,,,,,"avg(avg_user_spend) as avg_user_spend,"
2025-02-03,USA,IOS,Sportsbetting,Video,14.1002952,52.92565775,0.1112638918,220.4995596,250.5352032,1800998.686,0.568828001,5,,,,,"sum(gross_spend_usd) as gross_spend_usd,"
2025-04-28,GBR,IOS,RMG,Statics,0.691416727,30.31308453,0.07770214292,211.7309698,227.6868614,78799.22817,0.522663827,11,,,,,"avg(spend_share) as spend_share ,"
