date,os,grouped_category,MAU,DAU,country
2024-04-01,IOS,RMG,5605965,1447623,U.S.
2024-04-01,ANDROID,Sportsbetting,2683428,787520,U.S.
2024-04-01,IOS,Sportsbetting,10464489,1843638,U.S.
2024-04-02,ANDROID,RMG,4939002,1001101,U.S.
2024-04-02,IOS,RMG,5605965,1519161,U.S.
2024-04-02,ANDROID,Sportsbetting,2683428,722981,U.S.
2024-04-02,IOS,Sportsbetting,10464489,1737338,U.S.
2024-04-03,ANDROID,RMG,4939002,1023267,U.S.
2024-04-03,IOS,RMG,5605965,1734671,U.S.
2024-04-03,ANDROID,Sportsbetting,2683428,686559,U.S.
2024-04-03,IOS,Sportsbetting,10464489,1756040,U.S.
2024-04-04,ANDROID,RMG,4939002,1014075,U.S.
2024-04-04,IOS,RMG,5605965,1715145,U.S.
2024-04-04,ANDROID,Sportsbetting,2683428,728408,U.S.
2024-04-04,IOS,Sportsbetting,10464489,1835718,U.S.
2024-04-05,ANDROID,RMG,4939002,935144,U.S.
2024-04-05,IOS,RMG,5605965,1552122,U.S.
2024-04-05,ANDROID,Sportsbetting,2683428,740264,U.S.
2024-04-05,IOS,Sportsbetting,10464489,1917557,U.S.
2024-04-06,ANDROID,RMG,4939002,1060043,U.S.
2024-04-06,IOS,RMG,5605965,1894856,U.S.
2024-04-06,ANDROID,Sportsbetting,2683428,821773,U.S.
2024-04-06,IOS,Sportsbetting,10464489,2032301,U.S.
2024-04-07,ANDROID,RMG,4939002,879227,U.S.
2024-04-07,IOS,RMG,5605965,1565950,U.S.
2024-04-07,ANDROID,Sportsbetting,2683428,857228,U.S.
2024-04-07,IOS,Sportsbetting,10464489,2120640,U.S.
2024-04-08,ANDROID,RMG,4939002,843868,U.S.
2024-04-08,IOS,RMG,5605965,1270234,U.S.
2024-04-08,ANDROID,Sportsbetting,2683428,753869,U.S.
2024-04-08,IOS,Sportsbetting,10464489,1891862,U.S.
2024-04-09,ANDROID,RMG,4939002,909355,U.S.
2024-04-09,IOS,RMG,5605965,1304643,U.S.
2024-04-09,ANDROID,Sportsbetting,2683428,718613,U.S.
2024-04-09,IOS,Sportsbetting,10464489,1784591,U.S.
2024-04-10,ANDROID,RMG,4939002,926066,U.S.
2024-04-10,IOS,RMG,5605965,1446187,U.S.
2024-04-10,ANDROID,Sportsbetting,2683428,677070,U.S.
2024-04-10,IOS,Sportsbetting,10464489,1710793,U.S.
2024-04-11,ANDROID,RMG,4939002,931194,U.S.
2024-04-11,IOS,RMG,5605965,1475801,U.S.
2024-04-11,ANDROID,Sportsbetting,2683428,712263,U.S.
2024-04-11,IOS,Sportsbetting,10464489,1765554,U.S.
2024-04-12,ANDROID,RMG,4939002,845495,U.S.
2024-04-12,IOS,RMG,5605965,1276869,U.S.
2024-04-12,ANDROID,Sportsbetting,2683428,720283,U.S.
2024-04-12,IOS,Sportsbetting,10464489,1827110,U.S.
2024-04-13,ANDROID,RMG,4939002,946799,U.S.
2024-04-13,IOS,RMG,5605965,1535931,U.S.
2024-04-13,ANDROID,Sportsbetting,2683428,781768,U.S.
2024-04-13,IOS,Sportsbetting,10464489,2045986,U.S.
2024-04-14,ANDROID,RMG,4939002,862833,U.S.
2024-04-14,IOS,RMG,5605965,1182457,U.S.
2024-04-14,ANDROID,Sportsbetting,2683428,822504,U.S.
2024-04-14,IOS,Sportsbetting,10464489,2036506,U.S.
2024-04-15,ANDROID,RMG,4939002,804544,U.S.
2024-04-15,IOS,RMG,5605965,928117,U.S.
2024-04-15,ANDROID,Sportsbetting,2683428,715175,U.S.
2024-04-15,IOS,Sportsbetting,10464489,1748771,U.S.
2024-04-16,ANDROID,RMG,4939002,865954,U.S.
2024-04-16,IOS,RMG,5605965,970309,U.S.
2024-04-16,ANDROID,Sportsbetting,2683428,692665,U.S.
2024-04-16,IOS,Sportsbetting,10464489,1742419,U.S.
2024-04-17,ANDROID,RMG,4939002,874770,U.S.
2024-04-17,IOS,RMG,5605965,1087928,U.S.
2024-04-17,ANDROID,Sportsbetting,2683428,659398,U.S.
2024-04-17,IOS,Sportsbetting,10464489,1693915,U.S.
2024-04-18,ANDROID,RMG,4939002,876011,U.S.
2024-04-18,IOS,RMG,5605965,1094534,U.S.
2024-04-18,ANDROID,Sportsbetting,2683428,687179,U.S.
2024-04-18,IOS,Sportsbetting,10464489,1672585,U.S.
2024-04-19,ANDROID,RMG,4939002,801553,U.S.
2024-04-19,IOS,RMG,5605965,950225,U.S.
